category,parameter,value,min,max,unit,owning_phase,notes
field,ring1_radius,90,60,120,px,5,Inner ring radius
field,ring2_radius,160,130,200,px,5,Main line radius
field,ring3_radius,240,200,280,px,5,Outer ring radius
field,rim_radius,320,280,380,px,5,Chime mounts and enemy spawn boundary
field,ring1_slots,6,4,8,count,5,Fewer slots inner so placement matters
field,ring2_slots,10,8,12,count,5,
field,ring3_slots,14,10,18,count,5,
field,rim_mounts,8,4,12,count,5,Chime mount points
field,ring1_period,8,5,12,s,5,Seconds per revolution
field,ring2_period,14,10,20,s,5,Non-integer ratio to ring1 on purpose
field,ring3_period,22,16,30,s,5,Non-integer ratio to ring1 and ring2
beat,beat_max_charges,3,2,6,count,5,Wright's manual strike; Regulation branch raises this
beat,beat_recharge_interval,3,1.5,6,s,5,Seconds to regain one Beat
beat,beat_cooldown,0.25,0.1,0.5,s,5,Minimum gap between strikes so a double-click does not waste one
beat,beat_radius,44,25,80,px,5,Blast radius; keeps it satisfying against Massed despite Percussive penalty
beat,beat_damage,26,15,45,damage,5,Percussive; tuned so ignoring the Beat is still viable
objective,mainspring_hitbox,28,20,40,px,5,Smaller than rendered sprite for fairness
objective,tension_base,1000,500,2000,hp,6,Starting Tension pool
objective,tension_per_bracing_tier,250,100,500,hp,6,Bracing branch scaling
objective,repair_fraction,0.25,0.15,0.4,rate,12,Fraction of max Tension an emergency repair restores
objective,regen_in_combat,0,0,1,bool,12,Regeneration is paused during a live wave; gap only
objective,threshold_50,0.5,0.4,0.6,rate,12,Fires an event when crossed downward
objective,threshold_25,0.25,0.2,0.35,rate,12,
objective,threshold_10,0.1,0.05,0.15,rate,12,
combat,retarget_interval,0.75,0.5,1.5,s,5,Never retarget mid-swing
combat,radial_margin,40,20,80,px,13,Slack either side of a unit's annular band
combat,threat_distance_weight,2.0,1.0,4.0,multiplier,5,Weight on proximity to Mainspring in threat score
combat,defence_constant,100,50,200,constant,5,In final = raw * 100/(100+defence)
combat,movement_recovery_time,12,6,20,s,5,Disabled duration; never permadeath
